pattern,confidence_score
fake news,51.74
propaganda,45.59
propaganda techniques,44.52
sensationalism,33.89
regarding trump,25.12
trump protests,24.1
terror in the white house,23.48
another bombshell on the mccain,22.5
satirical commentary on trump,21.6
s plans and controversies,20.78
trump,20.31
reactions to the charlottesville incident,20.23
including obama administration spying,20.19
presenting trump,20.11
suspicious rhetorical strategies,19.95
questionable sources and sensationalism,19.91
the claim that benghazi was,19.81
it frames trump,19.44
absurdity that is donald trump,19.44
truth about obama,19.36
white house deputy,19.31
touching off a terrorism scare,19.08
constructs a caricature of trump,18.93
exaggerate claims about political opponents,18.61
s a crazy election year,18.32
trump claims family members,18.04
ck up the next election,18.03
to label pelosi,17.77
exaggerate political positions,17.59
fox news editor chris stirewalt,17.55
drifting further into neoconservative land,17.49
obama,17.48
violating the presidential records act,17.0
commentary on political rhetoric,16.72
government news,16.71
sided view of the protests,16.59
donald trump,16.59
including political statements,16.57
the senate leader can,16.35
liberal lies,16.3
a political newcomer,16.22
s actions and terrorism,16.22
t vote for trump,15.95
t support hillary clinton,15.92
bill clinton is a rapist,15.71
biased language and rhetorical strategies,15.63
terrorism scare,15.62
shocking announcement,15.61
political motive vs,15.54
corrupt gop legislature,15.51
s scotus nomination,15.43
as billionaire instigator sued,15.37
and oversimplify complex political issues,15.3
president,15.27
certainly could represent a threat,15.23
politically motivated,15.15
t vote for donald trump,15.13
hillary clinton,15.09
